f_shift,in,lp,bp,hp
0,3749,3798,-20,27
0,3662,3735,21,13
0,3564,3632,4,30
0,3453,3538,13,26
0,3331,3419,11,34
0,3198,3298,14,33
0,3055,3145,-41,56
0,2901,3032,45,21
0,2738,2845,4,56
0,2565,2700,22,37
0,2384,2512,18,52
0,2196,2334,19,49
0,1999,2122,-57,78
0,1797,1966,61,30
0,1588,1724,3,73
0,1374,1539,29,48
0,1156,1308,20,65
0,933,1096,22,59
0,708,845,-69,93
0,480,673,71,31
0,251,395,3,85
0,20,199,31,51
0,16174,-51,22,70
0,15945,22110,-3646,-5708
0,15717,10973,-1590,5072
0,15491,17787,-148,-2060
0,15268,14681,597,773
0,15049,15358,-476,-60
0,14834,15037,344,-9
0,14624,14687,-153,157
0,14420,14532,11,92
0,14223,14377,18,42
0,14033,14164,23,58
4,13850,13981,16,44
4,13676,13896,-94,1
4,13511,13679,-163,79
4,13356,13455,-135,124
4,13210,13288,-78,107
4,13075,13171,-59,69
4,12951,13055,-72,56
4,12839,12926,-79,65
4,12738,12804,-68,69
4,12649,12708,-55,58
4,12573,12621,-46,51
4,12509,12545,-36,46
4,12459,12485,-28,38
4,12421,12437,-21,33
4,12396,12400,-12,27
4,12385,12380,-6,19
4,12386,12367,6,15
4,12402,12367,8,15
4,12430,12381,24,9
4,12471,12419,34,-6
4,12526,12461,39,-9
4,12593,12517,49,-15
4,12672,12587,56,-22
4,12764,12668,63,-27
4,12868,12763,70,-34
4,12984,12865,79,-36
4,13111,12984,87,-43
4,13249,13108,98,-46
4,13397,13254,105,-57
4,13555,13407,105,-62
4,13723,13563,110,-63
4,13899,13726,120,-63
4,14084,13906,130,-72
4,14276,14090,137,-74
4,14475,14291,139,-84
4,14681,14492,138,-86
4,14892,14694,142,-84
4,15108,14907,148,-89
4,15328,15125,151,-92
4,15552,15336,158,-87
4,15779,15572,162,-101
4,16007,15805,153,-102
4,16237,16026,152,-95
4,83,16254,156,-95
4,313,6026,-11563,-161
4,542,-5356,-5165,8252
4,770,-5182,3968,3740
4,994,1356,4451,-2811
4,1216,4198,-43,-3182
4,1433,2252,-2135,32
4,1646,236,-689,1542
4,1853,587,938,590
4,2054,2034,952,-657
4,2248,2694,61,-670
4,2435,2441,-316,-35
4,2613,2203,-19,242
4,2783,2441,291,27
4,2944,2832,270,-184
4,3095,3078,92,-180
4,3236,3142,16,-55
4,3366,3202,67,1
4,3484,3337,121,-31
4,3592,3502,110,-73
4,3687,3621,72,-65
4,3770,3700,51,-38
4,3841,3763,55,-20
4,3899,3840,56,-27
4,3943,3902,46,-26
4,3975,3949,30,-21
4,3994,3969,22,-5
4,3999,3990,16,-4
4,3992,3992,15,0
4,3971,3992,1,0
4,3936,3971,-15,8
4,3889,3929,-26,20
4,3829,3873,-32,32
4,3756,3810,-33,36
4,3671,3740,-41,37
4,3573,3658,-53,40
4,3464,3556,-65,50
4,3343,3439,-69,60
4,3211,3324,-77,58
4,3068,3185,-85,69
4,2915,3042,-90,71
4,2753,2885,-97,79
4,2581,2723,-101,81
4,2401,2549,-106,85
4,2213,2378,-117,82
4,2018,2179,-125,97
4,1815,1978,-123,102
4,1607,1777,-124,100
4,1394,1571,-128,100
4,1176,1355,-134,106
4,954,1145,-141,102
4,728,912,-144,114
4,501,681,-139,117
4,272,460,-138,110
4,41,232,-141,111
4,16195,-1,-144,114
4,15966,9501,11521,934
4,15737,21601,5187,-8228
4,15511,21440,-3942,-3732
4,15288,14910,-4434,2818
4,15068,12066,55,3195
4,14853,14008,2150,-15
4,14643,15984,804,-1533
4,14438,15674,-921,-570
4,14240,14235,-931,669
4,14050,13580,-43,682
4,13866,13838,333,46
4,13692,14078,35,-229
4,13526,13860,-273,-31
4,13369,13446,-254,207
4,13223,13209,-67,194
4,13087,13161,7,59
4,12962,13106,-53,8
4,12849,12966,-106,49
4,12747,12813,-94,83
4,12657,12693,-53,81
4,12580,12621,-28,50
4,12515,12561,-31,35
4,12463,12498,-35,35
4,12424,12439,-26,37
4,12398,12400,-15,32
4,12385,12379,-4,21
4,12386,12368,4,15
4,12400,12368,6,15
4,12427,12380,22,9
4,12467,12416,33,-5
4,12520,12456,39,-8
4,12586,12514,47,-17
4,12665,12577,55,-18
4,12756,12659,64,-26
4,12859,12755,72,-35
4,12973,12857,79,-37
4,13099,12969,88,-40
4,13236,13103,96,-52
4,13383,13242,98,-55
4,13541,13388,105,-57
4,13707,13547,115,-63
4,13883,13716,119,-68
4,14067,13886,128,-67
4,14258,14079,135,-79
4,14457,14276,134,-85
4,14662,14473,134,-83
4,14872,14673,142,-82
4,15088,14887,148,-89
4,15308,15096,157,-86
4,15532,15327,158,-98
4,15758,15556,153,-100
4,15986,15777,152,-95
4,16216,16004,155,-95
4,62,16235,158,-98
4,292,6731,-11505,-916
4,522,-5366,-5169,8243
4,749,-5202,3959,3745
4,974,1330,4449,-2805
4,1196,4174,-40,-3180
4,1413,2232,-2133,31
4,1626,261,-787,1546
4,1834,573,938,584
4,2036,2016,948,-656
4,2230,2673,61,-667
4,2418,2420,-316,-32
4,2597,2192,-33,243
4,2768,2410,286,44
4,2930,2823,270,-190
4,3082,3066,88,-180
4,3223,3125,13,-49
4,3354,3186,69,3
4,3474,3323,124,-31
4,3582,3487,114,-70
4,3679,3615,71,-68
4,3763,3692,49,-37
4,3835,3755,54,-19
4,3894,3833,58,-27
4,3940,3898,48,-28
4,3973,3940,36,-18
4,3993,3973,23,-11
4,4000,3990,12,-3
4,3993,3990,12,4
4,3973,3990,7,0
4,3940,3973,-11,6
4,3894,3934,-25,19
4,3835,3877,-30,32
4,3763,3816,-31,35
4,3679,3753,-42,31
4,3582,3666,-55,41
4,3474,3568,-67,48
4,3354,3453,-71,57
4,3223,3331,-77,62
4,3082,3195,-81,69
4,2930,3055,-85,70
4,2768,2902,-94,75
4,2597,2747,-106,74
4,2418,2572,-111,81
4,2230,2384,-116,92
4,2036,2193,-116,95
4,1834,1999,-117,96
4,1626,1800,-125,97
4,1413,1597,-136,97
4,1196,1383,-139,100
4,974,1155,-141,112
4,749,929,-138,114
4,522,708,-137,110
4,292,482,-139,110
4,62,261,-149,106
4,16216,27,-149,110
4,15986,10246,11573,184
4,15758,21918,4666,-8265
4,15532,21208,-4183,-3358
4,15308,14674,-4266,2991
4,15088,12095,45,3191
4,14872,14035,2144,-19
4,14662,16044,704,-1524
4,14457,15636,-955,-496
4,14258,14211,-893,693
4,14067,13611,-10,652
4,13883,13860,323,46
4,13707,14091,33,-224
4,13541,13855,-274,-11
4,13383,13450,-239,211
4,13236,13229,-61,185
4,13099,13177,-2,60
4,12973,13117,-56,10
4,12859,12984,-107,43
4,12756,12819,-95,88
4,12665,12700,-50,81
4,12586,12630,-27,49
4,12520,12569,-33,34
4,12467,12509,-40,31
4,12427,12446,-34,38
4,12400,12398,-14,36
4,12386,12378,0,22
4,12385,12378,0,8
4,12398,12378,0,7
4,12424,12378,10,15
4,12463,12401,32,7
4,12515,12450,44,-9
4,12580,12511,47,-19
4,12657,12574,52,-20
4,12747,12652,61,-25
4,12849,12741,71,-29
4,12962,12843,81,-34
4,13087,12963,88,-45
4,13223,13091,92,-50
4,13369,13228,97,-53
4,13526,13370,107,-54
4,13692,13524,121,-58
4,13866,13697,124,-67
4,14050,13878,127,-75
4,14240,14064,129,-78
4,14438,14255,130,-80
4,14643,14450,138,-81
4,14853,14648,149,-79
4,15068,14862,153,-85
4,15288,15088,154,-97
4,15511,15309,150,-96
4,15737,15528,152,-93
4,15966,15755,155,-95
4,16195,15977,162,-92
4,41,16208,162,-94
4,272,5988,-11560,-167
4,501,-5682,-4650,8279
4,728,-4971,4199,3373
4,954,1568,4280,-2980
4,1176,4145,-33,-3174
4,1394,2203,-2127,37
4,1607,201,-683,1535
4,1815,612,970,510
4,2018,2037,909,-676
4,2213,2641,29,-637
4,2401,2397,-304,-32
4,2581,2170,-13,238
4,2753,2413,293,22
4,2915,2822,257,-197
4,3068,3048,80,-173
4,3211,3105,19,-46
4,3343,3168,76,5
4,3464,3316,129,-37
4,3573,3488,110,-79
4,3671,3607,65,-66
4,3756,3682,47,-34
4,3829,3745,57,-17
4,3889,3823,64,-26
4,3936,3897,48,-32
4,3971,3943,28,-21
4,3992,3964,22,-4
4,3999,3985,20,-3
4,3994,3994,11,0
4,3975,3994,1,0
4,3943,3974,-13,8
4,3899,3933,-23,22
4,3841,3884,-26,28
4,3770,3824,-33,34
4,3687,3754,-41,37
4,3592,3676,-53,38
4,3484,3577,-63,47
4,3366,3461,-70,58
4,3236,3340,-73,63
4,3095,3210,-78,65
4,2944,3070,-87,69
4,2783,2922,-99,72
4,2613,2761,-106,75
4,2435,2583,-112,86
4,2248,2400,-113,92
4,2054,2212,-114,93
4,1853,2019,-120,95
4,1646,1827,-132,92
4,1433,1616,-136,98
4,1216,1394,-139,109
4,994,1173,-135,111
4,770,954,-135,108
4,542,732,-140,108
4,313,510,-149,107
4,83,279,-149,109
4,16237,39,-148,118
